epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.917894829281991,6.900795,0.118,0.592
1,6.264356859391637,4.5970075,14.012,32.828
2,5.540838724512944,3.70734375,27.74,51.814
3,5.155773926600754,3.10738875,37.268,62.918
4,4.968029853918379,2.94515625,40.734,66.524
5,4.849990375655637,2.80060625,43.056,68.21
6,4.7597631078829865,2.674065,45.252,70.682
7,4.7041970486168285,2.7307375,45.556,70.532
8,4.698395139164776,2.631885,46.13,70.988
9,4.678269763406423,2.6241975,46.418,71.634
10,4.678612027856277,2.611315,47.276,71.932
11,4.705865182036119,2.590355,46.89,72.102
12,4.711447601791003,2.595034375,46.786,71.84
13,4.726644942276388,2.70340375,44.906,69.728
14,4.749795227409076,2.71754375,44.96,70.23
15,4.793146203223655,2.725015,45.312,70.36
16,4.820184208506303,2.81938,43.564,68.758
17,4.82130569796101,2.79005,42.928,68.42
18,4.826359920698009,2.82811,43.846,68.962
19,4.8379193536288065,2.87568375,42.762,67.868
20,4.860992008023601,2.92037375,40.718,65.838
21,4.901303342444529,3.04168125,40.234,65.75
22,4.952419602613655,2.9,40.344,65.758
23,5.001490499904688,3.42170375,33.224,58.306
