epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.917910229673774,6.90074875,0.132,0.62
1,6.281517994299019,4.60991125,13.79,32.12
2,5.53929752869,3.59693375,29.478,53.856
3,5.146655235883238,3.04784375,38.138,63.746
4,4.956512287080431,2.94136875,41.056,66.676
5,4.839506299995023,2.749971875,43.538,68.61
6,4.753484230628498,2.6638275,46.0,71.22
7,4.699723425290758,2.66324125,46.876,71.526
8,4.694618482002728,2.6909175,46.26,71.534
9,4.6747636125623275,2.509055,48.21,72.958
10,4.674997897838041,2.5726875,47.966,72.79
11,4.701270821997873,2.563860625,47.386,72.512
12,4.706809328947898,2.600021875,46.276,71.47
13,4.72093849678596,2.64996875,46.478,71.484
14,4.7423990962507245,2.67405375,45.604,70.748
